week,level,count
May 7 - May 12,None,"10,308,483"
May 14 - May 19,None,"10,657,379"
May 21 - May 26,None,"9,116,561"
May 28 - Jun 2,None,"8,731,820"
Jun 4 - Jun 9,None,"7,973,690"
Jun 11 - Jun 16,None,"7,868,664"
Jun 18 - Jun 23,None,"7,476,080"
Jun 25 - Jun 30,None,"9,026,088"
Jul 2 - Jul 7,None,"8,888,584"
Jul 9 - Jul 14,None,"9,393,821"
Jul 16 - Jul 21,None,"9,854,048"
Aug 19 - Aug 31,None,"5,885,841"
Sep 2 - Sep 14,None,"6,258,244"
Sep 16 - Sep 28,None,"5,888,235"
Sep 30 - Oct 12,None,"5,895,368"
Oct 14 - Oct 26,None,"5,565,283"
May 7 - May 12,Slight,"14,158,604"
May 14 - May 19,Slight,"12,534,417"
May 21 - May 26,Slight,"11,626,125"
May 28 - Jun 2,Slight,"11,709,015"
Jun 4 - Jun 9,Slight,"10,190,889"
Jun 11 - Jun 16,Slight,"13,344,106"
Jun 18 - Jun 23,Slight,"14,388,666"
Jun 25 - Jun 30,Slight,"13,911,011"
Jul 2 - Jul 7,Slight,"13,715,231"
Jul 9 - Jul 14,Slight,"14,309,209"
Jul 16 - Jul 21,Slight,"13,905,774"
Aug 19 - Aug 31,Slight,"8,577,430"
Sep 2 - Sep 14,Slight,"8,809,504"
Sep 16 - Sep 28,Slight,"8,828,717"
Sep 30 - Oct 12,Slight,"8,261,710"
Oct 14 - Oct 26,Slight,"8,885,012"
May 7 - May 12,Moderate,"19,499,208"
May 14 - May 19,Moderate,"16,936,500"
May 21 - May 26,Moderate,"15,636,462"
May 28 - Jun 2,Moderate,"16,484,596"
Jun 4 - Jun 9,Moderate,"16,018,092"
Jun 11 - Jun 16,Moderate,"16,334,804"
Jun 18 - Jun 23,Moderate,"18,369,696"
Jun 25 - Jun 30,Moderate,"18,618,835"
Jul 2 - Jul 7,Moderate,"19,064,077"
Jul 9 - Jul 14,Moderate,"17,924,476"
Jul 16 - Jul 21,Moderate,"18,744,318"
Aug 19 - Aug 31,Moderate,"12,712,842"
Sep 2 - Sep 14,Moderate,"14,661,729"
Sep 16 - Sep 28,Moderate,"13,188,436"
Sep 30 - Oct 12,Moderate,"13,520,318"
Oct 14 - Oct 26,Moderate,"12,877,277"
May 7 - May 12,High,"29,029,915"
May 14 - May 19,High,"26,802,195"
May 21 - May 26,High,"27,883,104"
May 28 - Jun 2,High,"27,660,408"
Jun 4 - Jun 9,High,"30,265,802"
Jun 11 - Jun 16,High,"30,750,196"
Jun 18 - Jun 23,High,"29,356,285"
Jun 25 - Jun 30,High,"28,608,841"
Jul 2 - Jul 7,High,"27,399,975"
Jul 9 - Jul 14,High,"26,016,573"
Jul 16 - Jul 21,High,"26,031,067"
Aug 19 - Aug 31,High,"25,912,353"
Sep 2 - Sep 14,High,"26,207,966"
Sep 16 - Sep 28,High,"26,331,283"
Sep 30 - Oct 12,High,"25,963,894"
Oct 14 - Oct 26,High,"25,266,419"
