week,level,count
1,wrent,"37,017"
2,wrent,"3,515,259"
3,wrent,"3,777,339"
4,wrent,"3,995,853"
5,wrent,"3,116,094"
6,wrent,"3,233,525"
7,wrent,"4,128,005"
8,wrent,"3,623,538"
9,wrent,"3,438,087"
10,wrent,"3,664,687"
11,wrent,"3,252,717"
12,wrent,"3,357,213"
13,wrent,"3,257,057"
14,wrent,"2,939,522"
15,wrent,"3,315,025"
16,wrent,"2,994,741"
1,noconf,"403,139"
2,noconf,"10,308,483"
3,noconf,"10,657,379"
4,noconf,"9,116,561"
5,noconf,"8,731,820"
6,noconf,"7,973,690"
7,noconf,"7,868,664"
8,noconf,"7,476,080"
9,noconf,"9,026,088"
10,noconf,"8,888,584"
11,noconf,"9,393,821"
12,noconf,"9,854,048"
13,noconf,"5,885,841"
14,noconf,"6,258,244"
15,noconf,"5,888,235"
16,noconf,"5,895,368"
1,slightconf,"433,683"
2,slightconf,"14,158,604"
3,slightconf,"12,534,417"
4,slightconf,"11,626,125"
5,slightconf,"11,709,015"
6,slightconf,"10,190,889"
7,slightconf,"13,344,106"
8,slightconf,"14,388,666"
9,slightconf,"13,911,011"
10,slightconf,"13,715,231"
11,slightconf,"14,309,209"
12,slightconf,"13,905,774"
13,slightconf,"8,577,430"
14,slightconf,"8,809,504"
15,slightconf,"8,828,717"
16,slightconf,"8,261,710"
1,modconf,"439,413"
2,modconf,"19,499,208"
3,modconf,"16,936,500"
4,modconf,"15,636,462"
5,modconf,"16,484,596"
6,modconf,"16,018,092"
7,modconf,"16,334,804"
8,modconf,"18,369,696"
9,modconf,"18,618,835"
10,modconf,"19,064,077"
11,modconf,"17,924,476"
12,modconf,"18,744,318"
13,modconf,"12,712,842"
14,modconf,"14,661,729"
15,modconf,"13,188,436"
16,modconf,"13,520,318"
1,highconf,"352,357"
2,highconf,"29,029,915"
3,highconf,"26,802,195"
4,highconf,"27,883,104"
5,highconf,"27,660,408"
6,highconf,"30,265,802"
7,highconf,"30,750,196"
8,highconf,"29,356,285"
9,highconf,"28,608,841"
10,highconf,"27,399,975"
11,highconf,"26,016,573"
12,highconf,"26,031,067"
13,highconf,"25,912,353"
14,highconf,"26,207,966"
15,highconf,"26,331,283"
16,highconf,"25,963,894"
1,deferred,"89,826"
2,deferred,"513,309"
3,deferred,"803,919"
4,deferred,"602,726"
5,deferred,"645,809"
6,deferred,"790,459"
7,deferred,"673,302"
8,deferred,"499,217"
9,deferred,"756,353"
10,deferred,"810,089"
11,deferred,"747,343"
12,deferred,"764,758"
13,deferred,"331,084"
14,deferred,"469,981"
15,deferred,"519,565"
16,deferred,"585,941"
1,didnottenure,"593,565"
2,didnottenure,"21,376,037"
3,didnottenure,"27,801,138"
4,didnottenure,"33,857,650"
5,didnottenure,"34,646,945"
6,didnottenure,"32,880,046"
7,didnottenure,"24,465,972"
8,didnottenure,"24,716,016"
9,didnottenure,"25,207,316"
10,didnottenure,"25,461,757"
11,didnottenure,"26,651,341"
12,didnottenure,"27,419,857"
13,didnottenure,"58,745,423"
14,didnottenure,"56,670,720"
15,didnottenure,"55,518,424"
16,didnottenure,"57,199,904"
