week,category,count
week_1,noconf,"403,139"
week_2,noconf,"10,308,483"
week_3,noconf,"10,657,379"
week_4,noconf,"9,116,561"
week_5,noconf,"8,731,820"
week_6,noconf,"7,973,690"
week_7,noconf,"7,868,664"
week_8,noconf,"7,476,080"
week_9,noconf,"9,026,088"
week_10,noconf,"8,888,584"
week_11,noconf,"9,393,821"
week_12,noconf,"9,854,048"
week_13,noconf,"5,885,841"
week_14,noconf,"6,258,244"
week_15,noconf,"5,888,235"
week_16,noconf,"5,895,368"
week_1,slightconf,"433,683"
week_2,slightconf,"14,158,604"
week_3,slightconf,"12,534,417"
week_4,slightconf,"11,626,125"
week_5,slightconf,"11,709,015"
week_6,slightconf,"10,190,889"
week_7,slightconf,"13,344,106"
week_8,slightconf,"14,388,666"
week_9,slightconf,"13,911,011"
week_10,slightconf,"13,715,231"
week_11,slightconf,"14,309,209"
week_12,slightconf,"13,905,774"
week_13,slightconf,"8,577,430"
week_14,slightconf,"8,809,504"
week_15,slightconf,"8,828,717"
week_16,slightconf,"8,261,710"
week_1,modconf,"439,413"
week_2,modconf,"19,499,208"
week_3,modconf,"16,936,500"
week_4,modconf,"15,636,462"
week_5,modconf,"16,484,596"
week_6,modconf,"16,018,092"
week_7,modconf,"16,334,804"
week_8,modconf,"18,369,696"
week_9,modconf,"18,618,835"
week_10,modconf,"19,064,077"
week_11,modconf,"17,924,476"
week_12,modconf,"18,744,318"
week_13,modconf,"12,712,842"
week_14,modconf,"14,661,729"
week_15,modconf,"13,188,436"
week_16,modconf,"13,520,318"
week_1,highconf,"352,357"
week_2,highconf,"29,029,915"
week_3,highconf,"26,802,195"
week_4,highconf,"27,883,104"
week_5,highconf,"27,660,408"
week_6,highconf,"30,265,802"
week_7,highconf,"30,750,196"
week_8,highconf,"29,356,285"
week_9,highconf,"28,608,841"
week_10,highconf,"27,399,975"
week_11,highconf,"26,016,573"
week_12,highconf,"26,031,067"
week_13,highconf,"25,912,353"
week_14,highconf,"26,207,966"
week_15,highconf,"26,331,283"
week_16,highconf,"25,963,894"
