state,category,characteristics,noconf
US,Total,Total,"8,918,242"
US,Age,18 - 24,"639,268"
US,Age,25 - 39,"4,399,374"
US,Age,40 - 54,"2,469,898"
US,Age,55 - 64,"989,617"
US,Age,65 and above,"420,084"
US,Sex,Male,"4,169,523"
US,Sex,Female,"4,748,719"
US,Hispanic origin and Race,Hispanic or Latino (may be of any race),"2,723,391"
US,Hispanic origin and Race,"White alone, not Hispanic","3,020,518"
US,Hispanic origin and Race,"Black alone, not Hispanic","2,331,905"
US,Hispanic origin and Race,"Asian alone, not Hispanic","308,873"
US,Hispanic origin and Race,"Two or more races + Other races, not Hispanic","533,556"
US,Education,Less than high school,"1,482,489"
US,Education,High school or GED,"3,706,781"
US,Education,Some college/associateês degree,"2,792,612"
US,Education,Bachelorês degree or higher,"936,360"
US,Marital status,Married,"2,965,813"
US,Marital status,Widowed,"222,984"
US,Marital status,Divorced/separated,"1,930,192"
US,Marital status,Never married,"3,791,412"
US,Marital status,Did not report,"7,842"
US,Presence of children under 18 years old,Children in household,"5,027,156"
US,Presence of children under 18 years old,No children,"3,891,086"
US,Respondent or household member experienced loss of employment income,Yes,"7,408,049"
US,Respondent or household member experienced loss of employment income,No,"1,510,193"
US,Respondent or household member experienced loss of employment income,Did not report,-
US,Respondent currently employed,Yes,"3,021,359"
US,Respondent currently employed,No,"5,885,026"
US,Respondent currently employed,Did not report,"11,857"
US,Household income,"Less than $25,000","3,674,597"
US,Household income,"$25,000 - $34,999","1,737,369"
US,Household income,"$35,000 - $49,999","1,545,670"
US,Household income,"$50,000 - $74,999","1,149,608"
US,Household income,"$75,000 - $99,999","394,303"
US,Household income,"$100,000 - $149,999","187,964"
US,Household income,"$150,000 - $199,999","47,277"
US,Household income,"$200,000 and above","6,968"
US,Household income,Did not report,"174,485"
AL,Total,Total,"161,904"
AL,Age,18 - 24,"23,728"
AL,Age,25 - 39,"34,220"
AL,Age,40 - 54,"67,294"
AL,Age,55 - 64,"35,173"
AL,Age,65 and above,"1,489"
AL,Sex,Male,"48,139"
AL,Sex,Female,"113,765"
AL,Hispanic origin and Race,Hispanic or Latino (may be of any race),"1,367"
AL,Hispanic origin and Race,"White alone, not Hispanic","70,545"
AL,Hispanic origin and Race,"Black alone, not Hispanic","81,964"
AL,Hispanic origin and Race,"Asian alone, not Hispanic","7,086"
AL,Hispanic origin and Race,"Two or more races + Other races, not Hispanic",942
AL,Education,Less than high school,"8,556"
AL,Education,High school or GED,"81,127"
AL,Education,Some college/associateês degree,"53,175"
AL,Education,Bachelorês degree or higher,"19,046"
AL,Marital status,Married,"56,448"
AL,Marital status,Widowed,"5,098"
AL,Marital status,Divorced/separated,"47,548"
AL,Marital status,Never married,"52,810"
AL,Marital status,Did not report,-
AL,Presence of children under 18 years old,Children in household,"70,557"
AL,Presence of children under 18 years old,No children,"91,347"
AL,Respondent or household member experienced loss of employment income,Yes,"143,348"
AL,Respondent or household member experienced loss of employment income,No,"18,556"
AL,Respondent or household member experienced loss of employment income,Did not report,-
AL,Respondent currently employed,Yes,"105,040"
AL,Respondent currently employed,No,"52,710"
AL,Respondent currently employed,Did not report,"4,153"
AL,Household income,"Less than $25,000","62,307"
AL,Household income,"$25,000 - $34,999","15,526"
AL,Household income,"$35,000 - $49,999","44,444"
AL,Household income,"$50,000 - $74,999","8,699"
AL,Household income,"$75,000 - $99,999","15,387"
AL,Household income,"$100,000 - $149,999","15,542"
AL,Household income,"$150,000 - $199,999",-
AL,Household income,"$200,000 and above",-
AL,Household income,Did not report,-
AK,Total,Total,"9,596"
AK,Age,18 - 24,321
AK,Age,25 - 39,"6,034"
AK,Age,40 - 54,"1,354"
AK,Age,55 - 64,"1,771"
AK,Age,65 and above,117
AK,Sex,Male,"5,206"
AK,Sex,Female,"4,390"
AK,Hispanic origin and Race,Hispanic or Latino (may be of any race),"1,631"
AK,Hispanic origin and Race,"White alone, not Hispanic","5,675"
