state,category,characteristics,total,wrent,noconf,slightconf,modconf,highconf,deferred,didnottenure
US,Total,Total,"77,201,968","3,515,259","10,308,483","14,158,604","19,499,208","29,029,915","513,309","177,190"
US,Age,    18 - 24,"4,638,250","134,606","422,050","879,345","1,636,655","1,457,480","28,132","79,983"
US,Age,    25 - 39,"35,943,791","1,506,221","5,691,491","6,937,418","8,662,392","12,883,159","216,365","46,745"
US,Age,    40 - 54,"20,343,186","840,275","3,035,405","4,345,391","5,046,481","6,902,568","140,075","32,992"
US,Age,    55 - 64,"9,257,832","483,853","1,036,176","1,526,410","2,618,235","3,516,619","72,378","4,161"
US,Age,    65 and above,"7,018,910","550,305","123,361","470,040","1,535,446","4,270,089","56,360","13,308"
US,Sex,    Male,"34,639,510","2,100,035","4,570,899","5,950,479","8,256,845","13,434,810","233,053","93,390"
US,Sex,    Female,"42,562,458","1,415,224","5,737,584","8,208,125","11,242,363","15,595,105","280,256","83,801"
US,Hispanic origin and Race,    Hispanic or Latino (may be of any race),"17,205,466","753,352","2,907,255","3,817,808","5,314,283","4,301,679","58,283","52,806"
US,Hispanic origin and Race,"    White alone, not Hispanic","38,803,049","1,886,984","4,205,749","4,998,136","9,102,735","18,249,853","247,509","112,082"
US,Hispanic origin and Race,"    Black alone, not Hispanic","13,933,627","614,548","2,470,345","3,795,947","3,246,895","3,677,936","117,589","10,368"
US,Hispanic origin and Race,"    Asian alone, not Hispanic","3,878,528","147,103","332,108","787,824","850,372","1,696,358","63,774",989
US,Hispanic origin and Race,"    Two or more races + Other races, not Hispanic","3,381,298","113,272","393,026","758,889","984,923","1,104,089","26,154",945
US,Education,    Less than high school,"6,787,373","416,793","1,372,076","1,749,031","2,041,022","1,174,828","32,677",945
US,Education,    High school or GED,"29,695,898","1,523,028","5,209,000","6,086,947","7,657,734","9,048,826","107,990","62,373"
US,Education,    Some college/associate’s degree,"25,032,784","1,099,238","2,897,170","4,991,834","6,803,890","8,944,289","204,693","91,669"
US,Education,    Bachelor’s degree or higher,"15,685,913","476,199","830,237","1,330,793","2,996,562","9,861,972","167,948","22,203"
US,Marital status,    Married,"28,178,156","1,474,460","3,393,572","4,816,979","6,494,915","11,757,166","233,395","7,667"
US,Marital status,    Widowed,"2,586,932","160,099","145,012","222,702","466,604","1,564,885","19,127","8,504"
US,Marital status,    Divorced/separated,"14,603,999","784,862","2,152,048","2,781,551","3,943,828","4,883,784","52,591","5,336"
US,Marital status,    Never married,"31,532,669","983,858","4,617,851","6,337,371","8,563,112","10,670,156","204,636","155,684"
US,Marital status,    Did not report,"300,212","111,980",-,-,"30,749","153,924","3,559",-
US,Presence of children under 18 years old,    Children in household,"33,520,152","1,377,716","5,768,694","7,005,200","9,250,514","9,876,209","202,242","39,577"
US,Presence of children under 18 years old,    No children,"43,681,816","2,137,542","4,539,789","7,153,404","10,248,695","19,153,706","311,067","137,613"
US,Respondent or household member experienced loss of employment income,    Yes,"45,099,227","2,103,343","8,872,652","10,691,385","12,679,006","10,289,270","344,984","118,586"
US,Respondent or household member experienced loss of employment income,    No,"32,017,484","1,411,916","1,435,129","3,388,131","6,819,064","18,739,611","165,029","58,604"
US,Respondent or household member experienced loss of employment income,    Did not report,"85,257",-,702,"79,088","1,138","1,034","3,296",-
US,Respondent currently employed,    Yes,"38,310,702","1,120,006","3,128,566","5,744,332","9,608,365","18,356,289","201,388","151,756"
US,Respondent currently employed,    No,"38,789,074","2,395,253","7,178,591","8,335,184","9,886,131","10,656,560","311,920","25,435"
US,Respondent currently employed,    Did not report,"102,192",-,"1,326","79,088","4,712","17,065",-,-
US,Household income,"    Less than $25,000","22,032,507","1,842,983","4,499,417","5,365,577","5,089,135","5,020,515","157,773","57,109"
US,Household income,"    $25,000 - $34,999","13,884,427","413,408","2,048,770","2,865,558","4,631,795","3,874,499","50,399",-
US,Household income,"    $35,000 - $49,999","12,896,978","538,313","1,904,462","2,393,378","3,562,312","4,426,399","72,113",-
US,Household income,"    $50,000 - $74,999","12,289,295","292,987","1,225,510","1,797,375","3,228,448","5,664,433","80,543",-
US,Household income,"    $75,000 - $99,999","6,788,216","176,590","317,930","1,190,443","1,584,491","3,469,827","48,934",-
US,Household income,"    $100,000 - $149,999","5,110,911","77,534","106,248","276,278","940,917","3,649,232","48,914","11,788"
