week,level,count
2,wrent,"3,515,259"
2,noconf,"10,308,483"
2,slightconf,"14,158,604"
2,modconf,"19,499,208"
2,highconf,"29,029,915"
2,deferred,"513,309"
2,didnottenure,"21,376,037"
2,total,"77,201,968"
3,wrent,"3,777,339"
3,noconf,"10,657,379"
3,slightconf,"12,534,417"
3,modconf,"16,936,500"
3,highconf,"26,802,195"
3,deferred,"803,919"
3,didnottenure,"27,801,138"
3,total,"71,678,404"
4,wrent,"3,995,853"
4,noconf,"9,116,561"
4,slightconf,"11,626,125"
4,modconf,"15,636,462"
4,highconf,"27,883,104"
4,deferred,"602,726"
4,didnottenure,"33,857,650"
4,total,"69,114,541"
5,wrent,"3,116,094"
5,noconf,"8,731,820"
5,slightconf,"11,709,015"
5,modconf,"16,484,596"
5,highconf,"27,660,408"
5,deferred,"645,809"
5,didnottenure,"34,646,945"
5,total,"68,880,960"
6,wrent,"3,233,525"
6,noconf,"7,973,690"
6,slightconf,"10,190,889"
6,modconf,"16,018,092"
6,highconf,"30,265,802"
6,deferred,"790,459"
6,didnottenure,"32,880,046"
6,total,"68,948,887"
7,wrent,"4,128,005"
7,noconf,"7,868,664"
7,slightconf,"13,344,106"
7,modconf,"16,334,804"
7,highconf,"30,750,196"
7,deferred,"673,302"
7,didnottenure,"24,465,972"
7,total,"73,505,107"
8,wrent,"3,623,538"
8,noconf,"7,476,080"
8,slightconf,"14,388,666"
8,modconf,"18,369,696"
8,highconf,"29,356,285"
8,deferred,"499,217"
8,didnottenure,"24,716,016"
8,total,"74,045,544"
9,wrent,"3,438,087"
9,noconf,"9,026,088"
9,slightconf,"13,911,011"
9,modconf,"18,618,835"
9,highconf,"28,608,841"
9,deferred,"756,353"
9,didnottenure,"25,207,316"
9,total,"74,660,418"
10,wrent,"3,664,687"
10,noconf,"8,888,584"
10,slightconf,"13,715,231"
10,modconf,"19,064,077"
10,highconf,"27,399,975"
10,deferred,"810,089"
10,didnottenure,"25,461,757"
10,total,"73,819,863"
11,wrent,"3,252,717"
11,noconf,"9,393,821"
11,slightconf,"14,309,209"
11,modconf,"17,924,476"
11,highconf,"26,016,573"
11,deferred,"747,343"
11,didnottenure,"26,651,341"
11,total,"71,932,509"
12,wrent,"3,357,213"
12,noconf,"9,854,048"
12,slightconf,"13,905,774"
12,modconf,"18,744,318"
12,highconf,"26,031,067"
12,deferred,"764,758"
12,didnottenure,"27,419,857"
12,total,"73,065,587"
13,wrent,"3,257,057"
13,noconf,"5,885,841"
13,slightconf,"8,577,430"
13,modconf,"12,712,842"
13,highconf,"25,912,353"
13,deferred,"331,084"
13,didnottenure,"58,745,423"
13,total,"57,030,398"
14,wrent,"2,939,522"
14,noconf,"6,258,244"
14,slightconf,"8,809,504"
14,modconf,"14,661,729"
14,highconf,"26,207,966"
14,deferred,"469,981"
14,didnottenure,"56,670,720"
14,total,"59,776,778"
15,wrent,"3,315,025"
15,noconf,"5,888,235"
15,slightconf,"8,828,717"
15,modconf,"13,188,436"
15,highconf,"26,331,283"
15,deferred,"519,565"
15,didnottenure,"55,518,424"
15,total,"58,513,965"
16,wrent,"2,994,741"
16,noconf,"5,895,368"
16,slightconf,"8,261,710"
16,modconf,"13,520,318"
16,highconf,"25,963,894"
16,deferred,"585,941"
16,didnottenure,"57,199,904"
16,total,"57,527,460"
